,RankEp1,RankEp2,RankEp3,RankEp4,RankEp5,RankEp6,Income
3,1,2,3,4,5,6,"$0 - $24,999"
974,4,5,6,2,1,3,"$0 - $24,999"
565,5,6,4,2,1,3,"$0 - $24,999"
975,3,4,5,1,2,6,"$0 - $24,999"
976,5,4,6,3,2,1,"$0 - $24,999"
535,2,3,4,1,5,6,"$0 - $24,999"
515,4,5,3,6,2,1,"$0 - $24,999"
1002,6,3,2,1,5,4,"$0 - $24,999"
501,4,5,6,2,1,3,"$0 - $24,999"
495,5,6,4,3,1,2,"$0 - $24,999"
919,5,6,4,3,1,2,"$0 - $24,999"
693,1,2,3,4,5,6,"$0 - $24,999"
147,6,5,4,2,3,1,"$0 - $24,999"
697,1,2,3,4,5,6,"$0 - $24,999"
852,6,5,3,2,1,4,"$0 - $24,999"
851,6,4,5,1,2,3,"$0 - $24,999"
868,4,5,6,1,3,2,"$0 - $24,999"
804,3,6,4,5,1,2,"$0 - $24,999"
792,4,5,3,6,1,2,"$0 - $24,999"
786,3,6,5,2,1,4,"$0 - $24,999"
881,1,5,2,3,4,6,"$0 - $24,999"
777,1,2,3,4,5,6,"$0 - $24,999"
575,4,5,1,6,2,3,"$0 - $24,999"
757,5,6,1,2,3,4,"$0 - $24,999"
971,4,5,6,1,3,2,"$0 - $24,999"
966,6,5,4,1,3,2,"$0 - $24,999"
59,6,4,5,3,1,2,"$0 - $24,999"
37,3,2,1,4,6,5,"$0 - $24,999"
40,4,5,6,3,2,1,"$0 - $24,999"
91,5,4,6,2,3,1,"$0 - $24,999"
1153,6,5,4,1,2,3,"$0 - $24,999"
24,6,1,4,2,3,5,"$0 - $24,999"
1180,3,4,5,6,1,2,"$0 - $24,999"
16,4,6,5,3,1,2,"$0 - $24,999"
1181,3,4,5,2,1,6,"$0 - $24,999"
1182,5,4,6,3,2,1,"$0 - $24,999"
9,5,4,6,2,1,3,"$0 - $24,999"
65,1,2,3,4,5,6,"$0 - $24,999"
1177,2,1,3,4,5,6,"$0 - $24,999"
31,4,3,5,6,2,1,"$0 - $24,999"
857,4,5,3,6,1,2,"$0 - $24,999"
1120,3,2,1,5,6,4,"$0 - $24,999"
690,1,2,4,5,6,3,"$0 - $24,999"
657,4,3,5,2,6,1,"$0 - $24,999"
654,2,6,3,1,5,4,"$0 - $24,999"
653,1,2,3,5,6,4,"$0 - $24,999"
609,4,5,6,2,1,3,"$0 - $24,999"
592,5,4,6,3,2,1,"$0 - $24,999"
891,6,2,1,3,4,5,"$0 - $24,999"
1159,2,3,4,5,1,6,"$0 - $24,999"
740,6,5,4,1,3,2,"$0 - $24,999"
150,4,2,3,5,1,6,"$0 - $24,999"
296,3,5,4,6,1,2,"$0 - $24,999"
1071,2,3,4,5,6,1,"$0 - $24,999"
300,1,2,3,4,5,6,"$0 - $24,999"
382,1,2,3,4,5,6,"$0 - $24,999"
468,4,5,6,1,2,3,"$0 - $24,999"
462,4,2,3,5,6,1,"$0 - $24,999"
455,4,5,6,1,2,3,"$0 - $24,999"
443,6,5,3,1,4,2,"$0 - $24,999"
1022,2,3,4,5,1,6,"$0 - $24,999"
412,6,4,5,3,1,2,"$0 - $24,999"
405,4,5,6,3,1,2,"$0 - $24,999"
375,4,5,3,2,6,1,"$0 - $24,999"
306,1,2,3,4,5,6,"$0 - $24,999"
357,3,2,1,6,4,5,"$0 - $24,999"
337,3,4,5,6,1,2,"$0 - $24,999"
336,2,3,4,5,1,6,"$0 - $24,999"
334,5,3,4,6,2,1,"$0 - $24,999"
1060,4,6,5,3,2,1,"$0 - $24,999"
312,3,1,2,6,5,4,"$0 - $24,999"
742,1,2,3,4,5,6,"$0 - $24,999"
160,6,5,4,3,1,2,"$0 - $24,999"
167,6,4,2,5,3,1,"$0 - $24,999"
367,1,2,3,4,5,6,"$0 - $24,999"
177,5,6,4,2,1,3,"$0 - $24,999"
897,6,5,4,3,1,2,"$0 - $24,999"
174,4,5,6,1,3,2,"$0 - $24,999"
902,4,6,5,1,2,3,"$0 - $24,999"
725,4,5,6,3,1,2,"$0 - $24,999"
905,2,3,4,5,6,1,"$0 - $24,999"
485,4,6,5,1,2,3,"$0 - $24,999"
1012,2,5,6,4,1,3,"$0 - $24,999"
478,5,4,6,1,2,3,"$0 - $24,999"
477,6,4,1,3,5,2,"$0 - $24,999"
1077,4,5,6,1,3,2,"$0 - $24,999"
285,5,4,6,1,3,2,"$0 - $24,999"
911,6,4,5,2,3,1,"$0 - $24,999"
270,6,5,3,4,1,2,"$0 - $24,999"
251,4,5,6,2,1,3,"$0 - $24,999"
237,1,2,3,4,5,6,"$0 - $24,999"
1091,4,5,6,1,3,2,"$0 - $24,999"
187,6,5,4,2,1,3,"$0 - $24,999"
224,3,4,5,6,1,2,"$0 - $24,999"
207,6,2,4,3,1,5,"$0 - $24,999"
204,5,3,6,1,2,4,"$0 - $24,999"
276,6,5,4,3,1,2,"$0 - $24,999"
201,2,3,4,5,1,6,"$0 - $24,999"
815,1,4,6,5,2,3,"$25,000 - $49,999"
886,1,3,2,4,5,6,"$25,000 - $49,999"
789,5,6,1,2,3,4,"$25,000 - $49,999"
764,2,4,6,5,3,1,"$25,000 - $49,999"
13,3,4,5,6,1,2,"$25,000 - $49,999"
707,6,5,1,2,3,4,"$25,000 - $49,999"
775,4,5,6,1,2,3,"$25,000 - $49,999"
774,2,3,6,5,1,4,"$25,000 - $49,999"
718,3,4,5,6,1,2,"$25,000 - $49,999"
908,1,2,3,4,5,6,"$25,000 - $49,999"
706,6,5,4,3,1,2,"$25,000 - $49,999"
814,4,5,6,1,3,2,"$25,000 - $49,999"
699,6,5,2,4,3,1,"$25,000 - $49,999"
878,3,4,5,6,1,2,"$25,000 - $49,999"
157,3,1,2,4,5,6,"$25,000 - $49,999"
812,3,4,5,6,1,2,"$25,000 - $49,999"
790,4,5,6,1,3,2,"$25,000 - $49,999"
810,1,2,3,4,5,6,"$25,000 - $49,999"
433,4,5,6,2,3,1,"$25,000 - $49,999"
705,5,4,6,3,1,2,"$25,000 - $49,999"
424,6,2,3,5,4,1,"$25,000 - $49,999"
109,2,3,4,5,1,6,"$25,000 - $49,999"
586,6,5,4,2,1,3,"$25,000 - $49,999"
310,6,5,4,3,1,2,"$25,000 - $49,999"
6,1,4,3,6,5,2,"$25,000 - $49,999"
113,1,2,3,4,5,6,"$25,000 - $49,999"
10,1,2,3,4,5,6,"$25,000 - $49,999"
794,1,2,3,6,5,4,"$25,000 - $49,999"
684,1,2,3,4,5,6,"$25,000 - $49,999"
925,2,3,4,5,1,6,"$25,000 - $49,999"
744,3,4,5,6,1,2,"$25,000 - $49,999"
939,1,3,2,6,4,5,"$25,000 - $49,999"
118,3,6,4,1,2,5,"$25,000 - $49,999"
942,2,5,6,1,3,4,"$25,000 - $49,999"
876,3,4,5,2,1,6,"$25,000 - $49,999"
864,4,5,6,3,1,2,"$25,000 - $49,999"
915,5,3,6,4,1,2,"$25,000 - $49,999"
859,6,5,4,3,1,2,"$25,000 - $49,999"
166,3,1,2,4,5,6,"$25,000 - $49,999"
643,4,5,6,1,2,3,"$25,000 - $49,999"
642,4,5,6,1,2,3,"$25,000 - $49,999"
1127,3,4,5,6,1,2,"$25,000 - $49,999"
830,3,4,5,6,1,2,"$25,000 - $49,999"
132,2,3,4,1,5,6,"$25,000 - $49,999"
186,6,5,4,2,1,3,"$25,000 - $49,999"
43,5,6,4,2,1,3,"$25,000 - $49,999"
646,4,6,5,3,1,2,"$25,000 - $49,999"
644,2,4,5,6,1,3,"$25,000 - $49,999"
909,4,5,3,6,2,1,"$25,000 - $49,999"
834,6,2,5,3,1,4,"$25,000 - $49,999"
1029,1,2,3,4,5,6,"$25,000 - $49,999"
832,4,6,5,1,3,2,"$25,000 - $49,999"
743,6,4,5,1,2,3,"$25,000 - $49,999"
165,3,5,6,4,1,2,"$25,000 - $49,999"
1131,1,2,3,4,5,6,"$25,000 - $49,999"
